DATE,DEMAND, X, REGION
2 April 2019 00:00,3638,-,All Island
2 April 2019 00:15,3658,-,All Island
2 April 2019 00:30,3602,-,All Island
2 April 2019 00:45,3563,-,All Island
2 April 2019 01:00,3494,-,All Island
2 April 2019 01:15,3457,-,All Island
2 April 2019 01:30,3436,-,All Island
2 April 2019 01:45,3406,-,All Island
2 April 2019 02:00,3388,-,All Island
2 April 2019 02:15,3383,-,All Island
2 April 2019 02:30,3337,-,All Island
2 April 2019 02:45,3313,-,All Island
2 April 2019 03:00,3289,-,All Island
2 April 2019 03:15,3295,-,All Island
2 April 2019 03:30,3251,-,All Island
2 April 2019 03:45,3234,-,All Island
2 April 2019 04:00,3217,-,All Island
2 April 2019 04:15,3242,-,All Island
2 April 2019 04:30,3241,-,All Island
2 April 2019 04:45,3247,-,All Island
2 April 2019 05:00,3255,-,All Island
2 April 2019 05:15,3286,-,All Island
2 April 2019 05:30,3352,-,All Island
2 April 2019 05:45,3447,-,All Island
2 April 2019 06:00,3574,-,All Island
2 April 2019 06:15,3768,-,All Island
2 April 2019 06:30,3880,-,All Island
2 April 2019 06:45,4048,-,All Island
2 April 2019 07:00,4200,-,All Island
2 April 2019 07:15,4483,-,All Island
2 April 2019 07:30,4657,-,All Island
2 April 2019 07:45,4805,-,All Island
2 April 2019 08:00,4912,-,All Island
2 April 2019 08:15,5063,-,All Island
2 April 2019 08:30,5091,-,All Island
2 April 2019 08:45,5105,-,All Island
2 April 2019 09:00,5090,-,All Island
2 April 2019 09:15,5089,-,All Island
2 April 2019 09:30,5128,-,All Island
2 April 2019 09:45,5118,-,All Island
2 April 2019 10:00,5053,-,All Island
2 April 2019 10:15,5031,-,All Island
2 April 2019 10:30,5042,-,All Island
2 April 2019 10:45,5088,-,All Island
2 April 2019 11:00,5060,-,All Island
2 April 2019 11:15,5075,-,All Island
2 April 2019 11:30,5082,-,All Island
2 April 2019 11:45,5058,-,All Island
2 April 2019 12:00,5068,-,All Island
2 April 2019 12:15,5079,-,All Island
2 April 2019 12:30,5111,-,All Island
2 April 2019 12:45,5081,-,All Island
2 April 2019 13:00,5078,-,All Island
2 April 2019 13:15,5012,-,All Island
2 April 2019 13:30,4979,-,All Island
2 April 2019 13:45,4971,-,All Island
2 April 2019 14:00,4928,-,All Island
2 April 2019 14:15,4971,-,All Island
2 April 2019 14:30,5030,-,All Island
2 April 2019 14:45,4921,-,All Island
2 April 2019 15:00,4963,-,All Island
2 April 2019 15:15,4998,-,All Island
2 April 2019 15:30,5047,-,All Island
2 April 2019 15:45,5038,-,All Island
2 April 2019 16:00,5029,-,All Island
2 April 2019 16:15,5116,-,All Island
2 April 2019 16:30,5182,-,All Island
2 April 2019 16:45,5254,-,All Island
2 April 2019 17:00,5279,-,All Island
2 April 2019 17:15,5313,-,All Island
2 April 2019 17:30,5322,-,All Island
2 April 2019 17:45,5381,-,All Island
2 April 2019 18:00,5344,-,All Island
2 April 2019 18:15,5267,-,All Island
2 April 2019 18:30,5242,-,All Island
2 April 2019 18:45,5195,-,All Island
2 April 2019 19:00,5172,-,All Island
2 April 2019 19:15,5152,-,All Island
2 April 2019 19:30,5155,-,All Island
2 April 2019 19:45,5147,-,All Island
2 April 2019 20:00,5162,-,All Island
2 April 2019 20:15,5214,-,All Island
2 April 2019 20:30,5318,-,All Island
2 April 2019 20:45,5319,-,All Island
2 April 2019 21:00,5263,-,All Island
2 April 2019 21:15,5156,-,All Island
2 April 2019 21:30,5029,-,All Island
2 April 2019 21:45,4917,-,All Island
2 April 2019 22:00,4825,-,All Island
2 April 2019 22:15,4663,-,All Island
2 April 2019 22:30,4488,-,All Island
2 April 2019 22:45,4323,-,All Island
2 April 2019 23:00,4138,-,All Island
2 April 2019 23:15,4044,-,All Island
2 April 2019 23:30,3920,-,All Island
2 April 2019 23:45,3814,-,All Island
3 April 2019 00:00,3755,-,All Island
3 April 2019 00:15,3760,-,All Island
3 April 2019 00:30,3699,-,All Island
3 April 2019 00:45,3688,-,All Island
3 April 2019 01:00,3624,-,All Island
3 April 2019 01:15,3596,-,All Island
3 April 2019 01:30,3525,-,All Island
3 April 2019 01:45,3484,-,All Island
3 April 2019 02:00,3478,-,All Island
3 April 2019 02:15,3455,-,All Island
3 April 2019 02:30,3452,-,All Island
3 April 2019 02:45,3375,-,All Island
3 April 2019 03:00,3346,-,All Island
3 April 2019 03:15,3329,-,All Island
3 April 2019 03:30,3296,-,All Island
3 April 2019 03:45,3285,-,All Island
3 April 2019 04:00,3266,-,All Island
3 April 2019 04:15,3286,-,All Island
3 April 2019 04:30,3295,-,All Island
3 April 2019 04:45,3301,-,All Island
3 April 2019 05:00,3323,-,All Island
3 April 2019 05:15,3379,-,All Island
3 April 2019 05:30,3413,-,All Island
3 April 2019 05:45,3490,-,All Island
3 April 2019 06:00,3615,-,All Island
3 April 2019 06:15,3800,-,All Island
3 April 2019 06:30,3963,-,All Island
3 April 2019 06:45,4119,-,All Island
3 April 2019 07:00,4243,-,All Island
3 April 2019 07:15,4582,-,All Island
3 April 2019 07:30,4723,-,All Island
3 April 2019 07:45,4873,-,All Island
3 April 2019 08:00,4977,-,All Island
3 April 2019 08:15,5065,-,All Island
3 April 2019 08:30,5065,-,All Island
3 April 2019 08:45,5048,-,All Island
3 April 2019 09:00,5100,-,All Island
3 April 2019 09:15,5193,-,All Island
3 April 2019 09:30,5204,-,All Island
3 April 2019 09:45,5183,-,All Island
3 April 2019 10:00,5193,-,All Island
3 April 2019 10:15,5151,-,All Island
3 April 2019 10:30,5169,-,All Island
3 April 2019 10:45,5182,-,All Island
3 April 2019 11:00,5197,-,All Island
3 April 2019 11:15,5200,-,All Island
3 April 2019 11:30,5224,-,All Island
3 April 2019 11:45,5199,-,All Island
3 April 2019 12:00,5223,-,All Island
3 April 2019 12:15,5240,-,All Island
3 April 2019 12:30,5237,-,All Island
3 April 2019 12:45,5263,-,All Island
3 April 2019 13:00,5239,-,All Island
3 April 2019 13:15,5193,-,All Island
3 April 2019 13:30,5134,-,All Island
3 April 2019 13:45,5130,-,All Island
3 April 2019 14:00,5141,-,All Island
3 April 2019 14:15,5165,-,All Island
3 April 2019 14:30,5175,-,All Island
3 April 2019 14:45,5134,-,All Island
3 April 2019 15:00,5167,-,All Island
3 April 2019 15:15,5193,-,All Island
3 April 2019 15:30,5233,-,All Island
3 April 2019 15:45,5233,-,All Island
3 April 2019 16:00,5260,-,All Island
3 April 2019 16:15,5341,-,All Island
3 April 2019 16:30,5399,-,All Island
3 April 2019 16:45,5455,-,All Island
3 April 2019 17:00,5510,-,All Island
3 April 2019 17:15,5558,-,All Island
3 April 2019 17:30,5591,-,All Island
3 April 2019 17:45,5611,-,All Island
3 April 2019 18:00,5595,-,All Island
3 April 2019 18:15,5555,-,All Island
3 April 2019 18:30,5539,-,All Island
3 April 2019 18:45,5487,-,All Island
3 April 2019 19:00,5446,-,All Island
3 April 2019 19:15,5405,-,All Island
3 April 2019 19:30,5414,-,All Island
3 April 2019 19:45,5370,-,All Island
3 April 2019 20:00,5399,-,All Island
3 April 2019 20:15,5443,-,All Island
3 April 2019 20:30,5460,-,All Island
3 April 2019 20:45,5435,-,All Island
3 April 2019 21:00,5327,-,All Island
3 April 2019 21:15,5199,-,All Island
3 April 2019 21:30,5065,-,All Island
3 April 2019 21:45,4921,-,All Island
3 April 2019 22:00,4787,-,All Island
3 April 2019 22:15,4660,-,All Island
3 April 2019 22:30,4499,-,All Island
3 April 2019 22:45,4333,-,All Island
3 April 2019 23:00,4225,-,All Island
3 April 2019 23:15,4125,-,All Island
3 April 2019 23:30,3979,-,All Island
3 April 2019 23:45,3903,-,All Island
4 April 2019 00:00,3828,-,All Island
4 April 2019 00:15,3825,-,All Island
4 April 2019 00:30,3788,-,All Island
4 April 2019 00:45,3741,-,All Island
4 April 2019 01:00,3678,-,All Island
4 April 2019 01:15,3629,-,All Island
4 April 2019 01:30,3586,-,All Island
4 April 2019 01:45,3548,-,All Island
4 April 2019 02:00,3538,-,All Island
4 April 2019 02:15,3527,-,All Island
