DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
00:00:00,3651,-,All Island
00:15:00,3598,-,All Island
00:30:00,3532,-,All Island
00:45:00,3464,-,All Island
01:00:00,-,-,All Island
01:15:00,-,-,All Island
01:30:00,-,-,All Island
01:45:00,-,-,All Island
02:00:00,3420,-,All Island
02:15:00,3398,-,All Island
02:30:00,3345,-,All Island
02:45:00,3291,-,All Island
03:00:00,3214,-,All Island
03:15:00,3168,-,All Island
03:30:00,3104,-,All Island
03:45:00,3082,-,All Island
04:00:00,3044,-,All Island
04:15:00,3041,-,All Island
04:30:00,3045,-,All Island
04:45:00,3037,-,All Island
05:00:00,3036,-,All Island
05:15:00,3057,-,All Island
05:30:00,3031,-,All Island
05:45:00,3056,-,All Island
06:00:00,3084,-,All Island
06:15:00,3126,-,All Island
06:30:00,3145,-,All Island
06:45:00,3174,-,All Island
07:00:00,3152,-,All Island
07:15:00,3214,-,All Island
07:30:00,3267,-,All Island
07:45:00,3317,-,All Island
08:00:00,3403,-,All Island
08:15:00,3523,-,All Island
08:30:00,3610,-,All Island
08:45:00,3701,-,All Island
09:00:00,3769,-,All Island
09:15:00,3848,-,All Island
09:30:00,3924,-,All Island
09:45:00,3980,-,All Island
10:00:00,4057,-,All Island
10:15:00,4134,-,All Island
10:30:00,4167,-,All Island
10:45:00,4208,-,All Island
11:00:00,4258,-,All Island
11:15:00,4297,-,All Island
11:30:00,4307,-,All Island
11:45:00,4317,-,All Island
12:00:00,4362,-,All Island
12:15:00,4383,-,All Island
12:30:00,4391,-,All Island
12:45:00,4419,-,All Island
13:00:00,4419,-,All Island
13:15:00,4392,-,All Island
13:30:00,4359,-,All Island
13:45:00,4308,-,All Island
14:00:00,4253,-,All Island
14:15:00,4195,-,All Island
14:30:00,4154,-,All Island
14:45:00,4132,-,All Island
15:00:00,4084,-,All Island
15:15:00,4054,-,All Island
15:30:00,4040,-,All Island
15:45:00,4040,-,All Island
16:00:00,4039,-,All Island
16:15:00,4056,-,All Island
16:30:00,4058,-,All Island
16:45:00,4096,-,All Island
17:00:00,4115,-,All Island
17:15:00,4143,-,All Island
17:30:00,4194,-,All Island
17:45:00,4225,-,All Island
18:00:00,4249,-,All Island
18:15:00,4262,-,All Island
18:30:00,4289,-,All Island
18:45:00,4301,-,All Island
19:00:00,4304,-,All Island
19:15:00,4313,-,All Island
19:30:00,4341,-,All Island
19:45:00,4354,-,All Island
20:00:00,4426,-,All Island
20:15:00,4562,-,All Island
20:30:00,4664,-,All Island
20:45:00,4672,-,All Island
21:00:00,4647,-,All Island
21:15:00,4587,-,All Island
21:30:00,4496,-,All Island
21:45:00,4381,-,All Island
22:00:00,4271,-,All Island
22:15:00,4168,-,All Island
22:30:00,4020,-,All Island
